"Duration","Start date","End date","Start station number","Start station","End station number","End station","Bike number","Member type"
535,"2019-04-01 04:32:00","2019-04-01 04:40:55",31232,"7th & F St NW / National Portrait Gallery",31213,"17th & K St NW","W00140","Member"
704,"2019-04-01 04:34:21","2019-04-01 04:46:06",31111,"10th & U St NW",31100,"19th St & Pennsylvania Ave NW","W23053","Member"
563,"2019-04-01 04:35:47","2019-04-01 04:45:11",31651,"11th & Park Rd NW",31283,"14th & L St NW","W01497","Member"
1675,"2019-04-01 04:38:41","2019-04-01 05:06:37",31403,"5th & Kennedy St NW",32059,"Takoma Park Rec Center","W23917","Member"
276,"2019-04-01 04:40:39","2019-04-01 04:45:16",31200,"Massachusetts Ave & Dupont Circle NW",31275,"New Hampshire Ave & 24th St NW","W23292","Member"
367,"2019-04-01 04:41:58","2019-04-01 04:48:06",31619,"Lincoln Park / 13th & East Capitol St NE ",31628,"1st & K St SE",78126,"Member"
533,"2019-04-01 04:44:24","2019-04-01 04:53:18",31612,"D St & Maryland Ave NE",31244,"4th & E St SW",75560,"Member"
901,"2019-04-01 04:50:05","2019-04-01 05:05:06",31102,"11th & Kenyon St NW",31129,"15th St & Pennsylvania Ave NW","W24143","Casual"
238,"2019-04-01 04:53:08","2019-04-01 04:57:07",31651,"11th & Park Rd NW",31401,"14th St & Spring Rd NW","W22269","Member"
2515,"2019-04-01 04:56:10","2019-04-01 05:38:05",31003,"Crystal Dr & 15th St S",31003,"Crystal Dr & 15th St S","W23165","Member"
1168,"2019-04-01 04:56:32","2019-04-01 05:16:00",31400,"Georgia & New Hampshire Ave NW",31314,"34th & Water St NW","W23650","Member"
451,"2019-04-01 04:58:23","2019-04-01 05:05:55",31203,"14th & Rhode Island Ave NW",31119,"14th & Belmont St NW","W01455","Member"
577,"2019-04-01 04:58:38","2019-04-01 05:08:16",31323,"Woodley Park Metro / Calvert St & Connecticut Ave NW",31119,"14th & Belmont St NW","W23711","Member"
218,"2019-04-01 04:58:41","2019-04-01 05:02:20",31647,"7th St & Massachusetts Ave NE",31618,"4th & East Capitol St NE","W20089","Member"
442,"2019-04-01 04:59:15","2019-04-01 05:06:38",31108,"4th & M St SW",31218,"L'Enfant Plaza / 7th & C St SW","W24122","Member"
1200,"2019-04-01 04:59:45","2019-04-01 05:19:46",31112,"Harvard St & Adams Mill Rd NW",31225,"C & O Canal & Wisconsin Ave NW","W20126","Member"
288,"2019-04-01 05:02:02","2019-04-01 05:06:51",31101,"14th & V St NW",31298,"15th & M St NW","W24141","Member"
3998,"2019-04-01 05:02:58","2019-04-01 06:09:36",31618,"4th & East Capitol St NE",31290,"17th St & Independence Ave SW","W24002","Member"
286,"2019-04-01 05:03:33","2019-04-01 05:08:19",31418,"New Hampshire & Gallatin St NW",31515,"Fort Totten Metro","W23709","Member"
155,"2019-04-01 05:03:42","2019-04-01 05:06:18",31628,"1st & K St SE",31634,"3rd & Tingey St SE",78126,"Member"
2756,"2019-04-01 05:04:11","2019-04-01 05:50:08",31126,"11th & Girard St NW",31126,"11th & Girard St NW","W20819","Member"
695,"2019-04-01 05:04:13","2019-04-01 05:15:48",31623,"Columbus Circle / Union Station",31217,"USDA / 12th & C St SW","W23677","Member"
578,"2019-04-01 05:04:15","2019-04-01 05:13:54",31623,"Columbus Circle / Union Station",31635,"Potomac Ave & 8th St SE","W01089","Member"
629,"2019-04-01 05:06:27","2019-04-01 05:16:57",31624,"North Capitol St & F St NW",31231,"14th & D St NW / Ronald Reagan Building","W21415","Member"
833,"2019-04-01 05:06:59","2019-04-01 05:20:52",31655,"New Jersey Ave & F St NW",31605,"3rd & D St SE","W23580","Member"
481,"2019-04-01 05:07:22","2019-04-01 05:15:23",31212,"21st & M St NW",31314,"34th & Water St NW","W00734","Member"
453,"2019-04-01 05:07:28","2019-04-01 05:15:02",32031,"Taft St & E Gude Dr",32047,"Rockville Metro West","W21601","Member"
677,"2019-04-01 05:08:27","2019-04-01 05:19:44",31103,"16th & Harvard St NW",31103,"16th & Harvard St NW","W23581","Member"
812,"2019-04-01 05:09:51","2019-04-01 05:23:24",31623,"Columbus Circle / Union Station",31248,"Smithsonian-National Mall / Jefferson Dr & 12th St SW","W21394","Member"
198,"2019-04-01 05:10:05","2019-04-01 05:13:24",31024,"Virginia Square Metro / Monroe St & 9th St N",31034,"Fairfax Dr & N Randolph St","W23985","Member"
445,"2019-04-01 05:10:43","2019-04-01 05:18:09",31418,"New Hampshire & Gallatin St NW",31400,"Georgia & New Hampshire Ave NW","W21692","Member"
267,"2019-04-01 05:16:01","2019-04-01 05:20:29",31203,"14th & Rhode Island Ave NW",31224,"19th & L St NW","W23954","Member"
848,"2019-04-01 05:18:39","2019-04-01 05:32:47",31400,"Georgia & New Hampshire Ave NW",31237,"25th St & Pennsylvania Ave NW",70004,"Member"
1397,"2019-04-01 05:18:57","2019-04-01 05:42:15",31612,"D St & Maryland Ave NE",31268,"12th & U St NW","W23786","Member"
10910,"2019-04-01 05:20:59","2019-04-01 08:22:49",31404,"9th & Upshur St NW",31273,"Hains Point/Buckeye & Ohio Dr SW","W20179","Casual"
478,"2019-04-01 05:21:27","2019-04-01 05:29:26",31110,"20th St & Florida Ave NW",31205,"21st & I St NW","W20398","Member"
570,"2019-04-01 05:21:37","2019-04-01 05:31:08",31283,"14th & L St NW",31655,"New Jersey Ave & F St NW","W20138","Casual"
711,"2019-04-01 05:22:04","2019-04-01 05:33:55",31035,"N Quincy St & Glebe Rd",31050,"Barton St & 10th St N","W01248","Casual"
253,"2019-04-01 05:22:45","2019-04-01 05:26:58",31223,"Convention Center / 7th & M St NW",31241,"Thomas Circle","W20508","Member"
1162,"2019-04-01 05:23:09","2019-04-01 05:42:32",31225,"C & O Canal & Wisconsin Ave NW",31112,"Harvard St & Adams Mill Rd NW","W20126","Member"
403,"2019-04-01 05:24:11","2019-04-01 05:30:55",31245,"7th & R St NW / Shaw Library",31262,"11th & F St NW","W21984","Member"
1281,"2019-04-01 05:28:44","2019-04-01 05:50:05",31401,"14th St & Spring Rd NW",31231,"14th & D St NW / Ronald Reagan Building","W22030","Member"
645,"2019-04-01 05:29:24","2019-04-01 05:40:10",31626,"15th St & Massachusetts Ave SE",31627,"3rd & M St NE","W23390","Member"
389,"2019-04-01 05:30:10","2019-04-01 05:36:39",31659,"11th & C St SE",31652,"4th & M St SE","W24042","Member"
785,"2019-04-01 05:31:41","2019-04-01 05:44:47",31615,"6th & H St NE",31518,"New York Ave & Hecht Ave NE","W01227","Member"
354,"2019-04-01 05:32:00","2019-04-01 05:37:54",31622,"13th & D St NE",31623,"Columbus Circle / Union Station","W23969","Member"
700,"2019-04-01 05:35:15","2019-04-01 05:46:55",31227,"13th St & New York Ave NW",31275,"New Hampshire Ave & 24th St NW","W01296","Member"
331,"2019-04-01 05:36:32","2019-04-01 05:42:04",31201,"15th & P St NW",31291,"Vermont Ave & I St NW","W01442","Member"
289,"2019-04-01 05:37:16","2019-04-01 05:42:05",31201,"15th & P St NW",31291,"Vermont Ave & I St NW","W01409","Member"
826,"2019-04-01 05:37:24","2019-04-01 05:51:10",31266,"11th & M St NW",31246,"M St & Pennsylvania Ave NW","W23637","Member"
821,"2019-04-01 05:37:28","2019-04-01 05:51:09",31266,"11th & M St NW",31246,"M St & Pennsylvania Ave NW","W24158","Member"
1695,"2019-04-01 05:39:18","2019-04-01 06:07:34",31303,"Tenleytown / Wisconsin Ave & Albemarle St NW",31301,"Ward Circle / American University","W00387","Member"
468,"2019-04-01 05:39:32","2019-04-01 05:47:20",31623,"Columbus Circle / Union Station",31208,"M St & New Jersey Ave SE","W23969","Member"
576,"2019-04-01 05:39:52","2019-04-01 05:49:29",31631,"8th & F St NE",31625,"3rd & G St SE",78274,"Member"
321,"2019-04-01 05:40:17","2019-04-01 05:45:38",31404,"9th & Upshur St NW",31602,"Park Rd & Holmead Pl NW","W23619","Member"
1338,"2019-04-01 05:40:23","2019-04-01 06:02:41",31701,"Branch & Pennsylvania Ave SE",31701,"Branch & Pennsylvania Ave SE","W24124","Member"
544,"2019-04-01 05:40:40","2019-04-01 05:49:44",31623,"Columbus Circle / Union Station",31248,"Smithsonian-National Mall / Jefferson Dr & 12th St SW","W00688","Member"
679,"2019-04-01 05:41:02","2019-04-01 05:52:22",31407,"14th St & Colorado Ave NW",31651,"11th & Park Rd NW",75620,"Member"
803,"2019-04-01 05:41:14","2019-04-01 05:54:38",31623,"Columbus Circle / Union Station",31287,"10th St & L'Enfant Plaza SW","W00765","Member"
339,"2019-04-01 05:41:57","2019-04-01 05:47:36",31103,"16th & Harvard St NW",31120,"10th & Florida Ave NW","W22737","Member"
485,"2019-04-01 05:42:29","2019-04-01 05:50:35",31117,"15th & Euclid St  NW",31291,"Vermont Ave & I St NW","W21750","Member"
5322,"2019-04-01 05:44:15","2019-04-01 07:12:58",32000,"Norfolk Ave & Fairmont St",32000,"Norfolk Ave & Fairmont St","W20420","Casual"
658,"2019-04-01 05:44:41","2019-04-01 05:55:39",31113,"Columbia Rd & Belmont St NW",31275,"New Hampshire Ave & 24th St NW","W01226","Member"
842,"2019-04-01 05:45:03","2019-04-01 05:59:05",31522,"2nd St & Seaton Pl NE",31283,"14th & L St NW",77830,"Member"
985,"2019-04-01 05:45:14","2019-04-01 06:01:40",31630,"15th & East Capitol St NE",31223,"Convention Center / 7th & M St NW",78138,"Member"
255,"2019-04-01 05:46:16","2019-04-01 05:50:32",31117,"15th & Euclid St  NW",31124,"14th & Irving St NW","W23792","Member"
185,"2019-04-01 05:46:18","2019-04-01 05:49:23",31631,"8th & F St NE",31623,"Columbus Circle / Union Station","W23671","Member"
722,"2019-04-01 05:47:00","2019-04-01 05:59:03",31610,"Eastern Market / 7th & North Carolina Ave SE",31648,"Potomac Ave & Half St SW","W00375","Member"
103,"2019-04-01 05:47:01","2019-04-01 05:48:44",31123,"14th & Girard St NW",31119,"14th & Belmont St NW","W00603","Member"
451,"2019-04-01 05:47:25","2019-04-01 05:54:56",31400,"Georgia & New Hampshire Ave NW",31229,"New Hampshire Ave & T St NW",78156,"Member"
719,"2019-04-01 05:47:27","2019-04-01 05:59:27",31241,"Thomas Circle",31260,"23rd & E St NW ","W01105","Member"
316,"2019-04-01 05:48:05","2019-04-01 05:53:21",31105,"14th & Harvard St NW",31113,"Columbia Rd & Belmont St NW","W00993","Member"
266,"2019-04-01 05:48:16","2019-04-01 05:52:42",31282,"16th & R St NW",31110,"20th St & Florida Ave NW","W22632","Member"
297,"2019-04-01 05:48:17","2019-04-01 05:53:15",31238,"14th & G St NW",31232,"7th & F St NW / National Portrait Gallery","W01013","Member"
320,"2019-04-01 05:48:36","2019-04-01 05:53:56",31612,"D St & Maryland Ave NE",31613,"Eastern Market Metro / Pennsylvania Ave & 7th St SE","W00078","Member"
94,"2019-04-01 05:48:40","2019-04-01 05:50:14",31203,"14th & Rhode Island Ave NW",31201,"15th & P St NW","W21290","Member"
601,"2019-04-01 05:48:50","2019-04-01 05:58:51",31103,"16th & Harvard St NW",31128,"23rd & M St NW","W23581","Member"
406,"2019-04-01 05:49:47","2019-04-01 05:56:33",31628,"1st & K St SE",31648,"Potomac Ave & Half St SW","W01371","Member"
307,"2019-04-01 05:49:55","2019-04-01 05:55:03",31266,"11th & M St NW",31600,"5th & K St NW","W00381","Member"
231,"2019-04-01 05:50:02","2019-04-01 05:53:54",31505,"Eckington Pl & Q St NE",31627,"3rd & M St NE","W20547","Member"
166,"2019-04-01 05:50:11","2019-04-01 05:52:57",31613,"Eastern Market Metro / Pennsylvania Ave & 7th St SE",31635,"Potomac Ave & 8th St SE","W22063","Member"
378,"2019-04-01 05:50:13","2019-04-01 05:56:31",31286,"11th & O St NW",31101,"14th & V St NW","W20091","Member"
226,"2019-04-01 05:50:47","2019-04-01 05:54:33",32026,"Carroll & Ethan Allen Ave",31408,"Takoma Metro","W21585","Member"
202,"2019-04-01 05:50:54","2019-04-01 05:54:16",31079,"Lee Hwy & N Cleveland St",31080,"Lee Hwy & N Scott St","W23542","Member"
848,"2019-04-01 05:52:01","2019-04-01 06:06:10",31111,"10th & U St NW",31240,"Ohio Dr & West Basin Dr SW / MLK & FDR Memorials",78108,"Member"
338,"2019-04-01 05:52:33","2019-04-01 05:58:12",31104,"Adams Mill & Columbia Rd NW",31268,"12th & U St NW","W23992","Member"
209,"2019-04-01 05:54:27","2019-04-01 05:57:57",31105,"14th & Harvard St NW",31101,"14th & V St NW","W23072","Member"
463,"2019-04-01 05:54:48","2019-04-01 06:02:31",31612,"D St & Maryland Ave NE",31625,"3rd & G St SE",78363,"Member"
97,"2019-04-01 05:55:04","2019-04-01 05:56:41",31080,"Lee Hwy & N Scott St",31027,"Key Blvd & N Quinn St",75593,"Member"
110,"2019-04-01 05:55:11","2019-04-01 05:57:01",31606,"Potomac & Pennsylvania Ave SE",31644,"12th St & Pennsylvania Ave SE","W20507","Member"
269,"2019-04-01 05:55:33","2019-04-01 06:00:03",31644,"12th St & Pennsylvania Ave SE",31625,"3rd & G St SE","W01271","Member"
152,"2019-04-01 05:55:38","2019-04-01 05:58:10",31241,"Thomas Circle",31267,"17th St & Massachusetts Ave NW","W01162","Member"
535,"2019-04-01 05:55:44","2019-04-01 06:04:39",31119,"14th & Belmont St NW",31121,"Calvert St & Woodley Pl NW","W23510","Member"
467,"2019-04-01 05:56:13","2019-04-01 06:04:00",31105,"14th & Harvard St NW",31121,"Calvert St & Woodley Pl NW","W00181","Member"
1174,"2019-04-01 05:57:44","2019-04-01 06:17:19",31027,"Key Blvd & N Quinn St",31013,"Eads St & 22nd St S",75515,"Member"
1531,"2019-04-01 05:57:54","2019-04-01 06:23:25",31644,"12th St & Pennsylvania Ave SE",31002,"Crystal Dr & 20th St S",75663,"Member"
645,"2019-04-01 05:59:06","2019-04-01 06:09:52",31417,"Kansas Ave & Sherman Cr NW",31413,"3rd & Underwood St NW","W01147","Member"
517,"2019-04-01 05:59:59","2019-04-01 06:08:36",31104,"Adams Mill & Columbia Rd NW",31255,"24th & N St NW","W23187","Member"
536,"2019-04-01 06:00:04","2019-04-01 06:09:01",31619,"Lincoln Park / 13th & East Capitol St NE ",31623,"Columbus Circle / Union Station","W22891","Member"
427,"2019-04-01 06:00:36","2019-04-01 06:07:43",31230,"Metro Center / 12th & G St NW",31604,"3rd & H St NW","W00187","Member"
378,"2019-04-01 06:00:51","2019-04-01 06:07:10",31229,"New Hampshire Ave & T St NW",31283,"14th & L St NW","W23814","Member"
677,"2019-04-01 06:01:11","2019-04-01 06:12:28",31103,"16th & Harvard St NW",31233,"17th & K St NW / Farragut Square","W22879","Member"
328,"2019-04-01 06:01:26","2019-04-01 06:06:54",31604,"3rd & H St NW",31263,"10th & K St NW",75521,"Member"
1212,"2019-04-01 06:02:11","2019-04-01 06:22:23",31214,"17th & Corcoran St NW",31240,"Ohio Dr & West Basin Dr SW / MLK & FDR Memorials","W01221","Casual"
165,"2019-04-01 06:02:15","2019-04-01 06:05:00",31509,"New Jersey Ave & R St NW",31519,"1st & O St NW",77816,"Member"
816,"2019-04-01 06:02:25","2019-04-01 06:16:02",31626,"15th St & Massachusetts Ave SE",31603,"1st & M St NE","W20762","Member"
835,"2019-04-01 06:03:09","2019-04-01 06:17:05",31655,"New Jersey Ave & F St NW",31288,"4th St & Madison Dr NW","W23450","Member"
1135,"2019-04-01 06:04:57","2019-04-01 06:23:53",31659,"11th & C St SE",31228,"8th & H St NW","W00040","Member"
155,"2019-04-01 06:04:59","2019-04-01 06:07:34",31906,"Commonwealth Ave & Oak St",31098,"King St Metro North / Cameron St","W23997","Member"
825,"2019-04-01 06:05:50","2019-04-01 06:19:36",31300,"Van Ness Metro / UDC",31253,"19th & K St NW",75548,"Member"
293,"2019-04-01 06:05:53","2019-04-01 06:10:47",31103,"16th & Harvard St NW",31110,"20th St & Florida Ave NW","W00755","Member"
232,"2019-04-01 06:06:02","2019-04-01 06:09:55",31255,"24th & N St NW",31234,"20th & O St NW / Dupont South","W23657","Member"
178,"2019-04-01 06:06:16","2019-04-01 06:09:14",31634,"3rd & Tingey St SE",31628,"1st & K St SE",78126,"Member"
268,"2019-04-01 06:06:19","2019-04-01 06:10:48",31030,"Lee Hwy & N Adams St",31017,"Wilson Blvd & N Uhle St","W21860","Member"
426,"2019-04-01 06:06:22","2019-04-01 06:13:28",31506,"1st & Rhode Island Ave NW",31101,"14th & V St NW","W23385","Member"
291,"2019-04-01 06:06:46","2019-04-01 06:11:38",31618,"4th & East Capitol St NE",31643,"1st & D St SE","W20089","Member"
662,"2019-04-01 06:07:01","2019-04-01 06:18:03",31627,"3rd & M St NE",31620,"5th & F St NW","W20469","Member"
138,"2019-04-01 06:07:14","2019-04-01 06:09:32",31604,"3rd & H St NW",31620,"5th & F St NW","W01400","Member"
1021,"2019-04-01 06:07:21","2019-04-01 06:24:23",31632,"15th & F St NE",31243,"4th & C St SW","W24114","Member"
464,"2019-04-01 06:07:21","2019-04-01 06:15:06",31218,"L'Enfant Plaza / 7th & C St SW",31208,"M St & New Jersey Ave SE","W24122","Member"
207,"2019-04-01 06:08:03","2019-04-01 06:11:30",31101,"14th & V St NW",31229,"New Hampshire Ave & T St NW","W01498","Member"
650,"2019-04-01 06:08:19","2019-04-01 06:19:09",32214,"Reston Town Center Transit Station",32220,"Sunset Hills Rd & Isaac Newton Square","W20704","Member"
563,"2019-04-01 06:08:22","2019-04-01 06:17:45",31603,"1st & M St NE",31266,"11th & M St NW","W23324","Member"
1621,"2019-04-01 06:08:33","2019-04-01 06:35:35",31108,"4th & M St SW",31260,"23rd & E St NW ","W22481","Member"
205,"2019-04-01 06:09:11","2019-04-01 06:12:36",32229,"Park Run & Onyx Dr",32204,"Tysons Corner Station","W24095","Casual"
131,"2019-04-01 06:09:15","2019-04-01 06:11:26",31659,"11th & C St SE",31613,"Eastern Market Metro / Pennsylvania Ave & 7th St SE","W23972","Member"
675,"2019-04-01 06:09:58","2019-04-01 06:21:14",31519,"1st & O St NW",31119,"14th & Belmont St NW",78074,"Member"
1269,"2019-04-01 06:10:06","2019-04-01 06:31:15",31071,"Eads St & 12th St S",31249,"Jefferson Memorial","W01096","Member"
1312,"2019-04-01 06:10:12","2019-04-01 06:32:04",31413,"3rd & Underwood St NW",31207,"Georgia Ave and Fairmont St NW","W01147","Member"
562,"2019-04-01 06:10:47","2019-04-01 06:20:10",31310,"Connecticut & Nebraska Ave NW",31313,"Connecticut Ave & Tilden St NW","W00077","Member"
590,"2019-04-01 06:10:56","2019-04-01 06:20:46",31626,"15th St & Massachusetts Ave SE",31626,"15th St & Massachusetts Ave SE","W23163","Member"
168,"2019-04-01 06:11:10","2019-04-01 06:13:58",31103,"16th & Harvard St NW",31124,"14th & Irving St NW","W23200","Member"
554,"2019-04-01 06:11:17","2019-04-01 06:20:31",31503,"Florida Ave & R St NW",31232,"7th & F St NW / National Portrait Gallery","W23979","Member"
280,"2019-04-01 06:11:36","2019-04-01 06:16:17",31044,"King St & Patrick St",31084,"Ballenger Ave & Dulaney St",75448,"Member"
241,"2019-04-01 06:11:47","2019-04-01 06:15:49",31280,"11th & S St NW",31201,"15th & P St NW","W21878","Member"
482,"2019-04-01 06:11:55","2019-04-01 06:19:57",31229,"New Hampshire Ave & T St NW",31215,"Georgetown Harbor / 30th St NW",78156,"Member"
5499,"2019-04-01 06:12:04","2019-04-01 07:43:44",31110,"20th St & Florida Ave NW",31110,"20th St & Florida Ave NW","W22632","Member"
395,"2019-04-01 06:12:14","2019-04-01 06:18:49",31600,"5th & K St NW",31218,"L'Enfant Plaza / 7th & C St SW",78058,"Member"
490,"2019-04-01 06:12:15","2019-04-01 06:20:26",31630,"15th & East Capitol St NE",31623,"Columbus Circle / Union Station","W23915","Member"
1742,"2019-04-01 06:12:39","2019-04-01 06:41:41",31622,"13th & D St NE",31261,"21st St & Constitution Ave NW","W22335","Member"
522,"2019-04-01 06:13:06","2019-04-01 06:21:49",31622,"13th & D St NE",31623,"Columbus Circle / Union Station","W23548","Member"
639,"2019-04-01 06:13:28","2019-04-01 06:24:07",31626,"15th St & Massachusetts Ave SE",31269,"3rd St & Pennsylvania Ave SE","W00489","Member"
522,"2019-04-01 06:13:41","2019-04-01 06:22:23",31509,"New Jersey Ave & R St NW",31101,"14th & V St NW","W20686","Member"
582,"2019-04-01 06:14:23","2019-04-01 06:24:05",31229,"New Hampshire Ave & T St NW",31237,"25th St & Pennsylvania Ave NW","W24056","Member"
938,"2019-04-01 06:14:45","2019-04-01 06:30:23",31266,"11th & M St NW",31290,"17th St & Independence Ave SW","W22297","Member"
1771,"2019-04-01 06:14:53","2019-04-01 06:44:24",31400,"Georgia & New Hampshire Ave NW",31226,"34th St & Wisconsin Ave NW","W21692","Member"
264,"2019-04-01 06:15:20","2019-04-01 06:19:45",31296,"Columbia & Ontario Rd NW",31110,"20th St & Florida Ave NW","W20386","Member"
1156,"2019-04-01 06:15:33","2019-04-01 06:34:49",31278,"18th & R St NW",31243,"4th & C St SW","W23760","Member"
421,"2019-04-01 06:15:57","2019-04-01 06:22:59",31624,"North Capitol St & F St NW",31219,"10th St & Constitution Ave NW","W21997","Member"
505,"2019-04-01 06:16:08","2019-04-01 06:24:33",31626,"15th St & Massachusetts Ave SE",31269,"3rd St & Pennsylvania Ave SE","W23028","Member"
341,"2019-04-01 06:16:11","2019-04-01 06:21:53",31281,"8th & O St NW",31228,"8th & H St NW","W23372","Member"
785,"2019-04-01 06:16:33","2019-04-01 06:29:39",31088,"Mount Vernon Ave & Kennedy St",31048,"King St Metro South","W23793","Member"
586,"2019-04-01 06:17:03","2019-04-01 06:26:49",31107,"Lamont & Mt Pleasant NW",31280,"11th & S St NW","W21384","Member"
